Life Satisfaction,wea,web,wec,wed,wee,wef,weg,weh,wei,wej,income,OldChild,SmallChild,job,gender,employ,children_,state,confirmed_x,deaths_x,school_closing_x,workplace_closing_x,cancel_events_x,gatherings_restrictions_x,transport_closing_x,stay_home_restrictions_x,internal_movement_restrictions_x,testing_policy_x,contact_tracing_x,demo_age,demo_marital_status_2017,No. Children
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,1,,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,AL,10009,401,3,2,2,4,1,1,1,2,2,52,Married,1
5,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,10009,401,3,2,2,4,1,1,1,2,2,47,Married,0
4,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Middle-Income,,,Real Estate,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,AL,10009,401,3,2,2,4,1,1,1,2,2,43,Married,0
7,Yes,No,No,No,No,Yes,Yes,No,No,No,Low-Income,,,Construction,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,AR,4034,94,3,2,1,3,1,1,2,2,1,68,Married,0
7,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,1,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,AR,4034,94,3,2,1,3,1,1,2,2,1,39,Married,2
5,Yes,Yes,No,No,No,Yes,No,No,No,No,Middle-Income,,,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,AZ,11380,542,3,2,2,0,1,2,2,2,1,64,Married,0
9,Yes,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,,1,Government or Public Policy,Female,Employed part-time (i.e. worked less than 35-hours for pay),Yes,AZ,11380,542,3,2,2,0,1,2,2,2,1,51,Married,1
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,63,Married,0
8,No,No,No,No,No,No,No,No,No,No,High-Income,,,Other; please specify,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,63,Married,0
8,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Middle-Income,,,Law,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,61,Married,0
9,Yes,Yes,No,Yes,No,Yes,No,No,No,No,High-Income,1,1,Technological/Information Systems/Computer/Software/Mathematical,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CA,67939,2770,3,2,2,4,0,1,1,2,1,51,Married,3
7,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,75,Married,0
6,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Middle-Income,1,,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CA,67939,2770,3,2,2,4,0,1,1,2,1,58,Married,1
6,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,56,Single/Never been married,0
7,Yes,No,No,No,No,Yes,Yes,No,No,No,High-Income,,,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,63,Married,0
6,Yes,No,No,No,No,No,Yes,No,No,Yes,Middle-Income,,,Professional Services,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,38,Single/Never been married,0
6,Yes,Yes,No,No,No,Yes,No,No,No,No,High-Income,,,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,63,Married,0
6,No,No,Yes,No,No,No,No,No,No,No,High-Income,,,Technological/Information Systems/Computer/Software/Mathematical,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,33,Married,0
7,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,College or University,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,33,Married,0
5,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Low-Income,,,K-12 Education,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,76,Divorced,0
2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Middle-Income,,,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,36,Single/Never been married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Health Care,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,CA,67939,2770,3,2,2,4,0,1,1,2,1,66,Single/Never been married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CO,19879,987,3,2,2,4,1,1,1,1,1,61,Married,0
5,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Middle-Income,0,1,College or University,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CO,19879,987,3,2,2,4,1,1,1,1,1,34,Married,2
4,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Middle-Income,1,,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,CO,19879,987,3,2,2,4,1,1,1,1,1,51,Married,2
4,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Middle-Income,,,Training or Library,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,CO,19879,987,3,2,2,4,1,1,1,1,1,64,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,,,Other; please specify,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,CO,19879,987,3,2,2,4,1,1,1,1,1,65,Single/Never been married,0
6,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Middle-Income,1,,Other; please specify,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CO,19879,987,3,2,2,4,1,1,1,1,1,51,Married,2
7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Middle-Income,1,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,CT,33765,3008,3,3,2,4,1,1,1,2,1,50,Married,2
3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Low-Income,,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,69,Divorced,0
8,Yes,No,Yes,No,No,Yes,No,No,No,No,High-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,68,Married,0
7,No,Yes,No,Yes,No,No,No,No,Yes,Yes,High-Income,,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,65,Married,0
6,Yes,No,No,No,No,Yes,Yes,No,No,No,Middle-Income,,,Other; please specify,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,69,Married,0
6,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,0,1,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,FL,39562,1805,3,3,2,4,1,2,2,1,1,37,Married,3
7,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Middle-Income,1,1,Finance,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,FL,39562,1805,3,3,2,4,1,2,2,1,1,41,Married,4
7,Yes,Yes,No,Yes,No,No,No,No,No,No,High-Income,,,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,48,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Real Estate,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,58,Married,0
8,Yes,No,No,No,No,Yes,Yes,No,No,No,High-Income,,,Finance,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,37,Married,0
4,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Middle-Income,,,Hospitality,Female,Employed part-time (i.e. worked less than 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,59,Married,0
7,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,,,Transportation,Male,Employed part-time (i.e. worked less than 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,64,Married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,,Retail,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,FL,39562,1805,3,3,2,4,1,2,2,1,1,60,Separated,0
8,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Middle-Income,1,,Transportation,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,GA,33927,1441,3,2,2,4,1,2,1,3,1,64,Married,0
7,No,Yes,No,No,No,No,Yes,Yes,No,Yes,High-Income,,,Government or Public Policy,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,HI,632,17,3,2,1,4,0,2,2,1,2,44,Single/Never been married,0
8,Yes,No,No,No,No,Yes,No,No,No,No,Middle-Income,,1,Construction,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,ID,2230,67,3,2,2,4,0,1,1,1,1,55,Married,3
7,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,High-Income,,,Professional Services,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,IL,79007,3459,3,3,2,4,0,2,2,2,1,54,Single/Never been married,0
8,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Middle-Income,,,Community/Social Services,Female,Employed full-time (i.e. worked at least 35-hours for pay),No,IL,79007,3459,3,3,2,4,0,2,2,2,1,60,Married,0
9,Yes,No,No,No,No,Yes,No,No,No,No,Low-Income,1,,Health Care,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IL,79007,3459,3,3,2,4,0,2,2,2,1,65,Divorced,1
4,No,No,Yes,No,No,No,No,Yes,No,No,Low-Income,1,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IL,79007,3459,3,3,2,4,0,2,2,2,1,45,Divorced,1
4,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,High-Income,1,1,Government or Public Policy,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IL,79007,3459,3,3,2,4,0,2,2,2,1,44,Married,3
4,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Middle-Income,,,Manufacturing,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,IL,79007,3459,3,3,2,4,0,2,2,2,1,35,Single/Never been married,0
8,Yes,No,No,No,No,Yes,Yes,No,No,Yes,High-Income,1,1,Other; please specify,Male,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IN,24627,1540,3,3,2,4,1,1,1,2,1,40,Married,4
9,Yes,No,No,No,No,Yes,No,No,No,No,High-Income,1,,K-12 Education,Female,Employed full-time (i.e. worked at least 35-hours for pay),Yes,IN,24627,1540,3,3,2,4,1,1,1,2,1,48,Married,1
5,Yes,No,No,No,No,Yes,No,Yes,No,No,Middle-Income,,,K-12 Education,Male,Employed full-time (i.e. worked at least 35-hours for pay),No,KS,7116,158,3,2,2,4,1,1,1,2,1,49,Married,0
